"Title","Genres","Release Date","Release Country","Movie Rating","Review Rating","Movie Run Time","Plot","Cast","Language","Filming Locations","Budget"
"Gut (2012)"," Drama| Horror| Thriller","26-Oct-12","USA",,3.9,"91 min","Directed by Elias. With Jason Vail, Nicholas Wilder, Sarah Schoofs, Kirstianna Mueller. Family man Tom has seen something he can't forget, a mysterious video with an ugly secret that soon spreads into his daily life and threatens to dismantle everything around him.","Jason Vail|Nicholas Wilder|Sarah Schoofs|Kirstianna Mueller|Kaitlyn Mueller|Angie Bullaro|Ria Burns-Wilder|Miles Joris-Peyrafitte|Karl Pfeiffer|Leisa Haddad|Misty Gonzalez|Jordan Sariego|Christine Kadets|Deborah J. Atuk|J. Brett Rose","English","New York, USA",
"The Haunting of Mia Moss (2017)"," Horror","13-Jan-17","USA",,,,"Directed by Jake Zelch. With Nicola Fiore, Brinke Stevens, Curtis Carnahan, Jake Zelch.","Nicola Fiore|Brinke Stevens|Curtis Carnahan|Jake Zelch|Haley Bordelon|Asalee Biagioli|Emily Christina|Erin Felts|Jerri Gerth|Dustin Hubbard|Justin Isom Jr.|Erik Kommer|Mackenzie Lampkin-Isom|Ben Milke|Destinie Orndoff","English",,"$30,000 "
"Sleepwalking (2017)"," Horror","21-Oct-17","Canada",,,,"Directed by David Briggs. With Alysia Topol, Anthony Makela, Kelsi Ashley, Patrick J. Carew.","Alysia Topol|Anthony Makela|Kelsi Ashley|Patrick J. Carew|Chiv Chivaul|Starlotte Dresen|Melanie Durette|Emilie Overton|Corey Pascall|Lindsay Primeau|Trish Rainone|Tammy-lynn Wilcox","English","Sudbury, Ontario, Canada",
"Treasure Chest of Horrors II (2013)"," Comedy| Horror| Thriller","23-Apr-13","USA","NOT RATED",3.7,"82 min","Directed by M. Kelley, Shawn C. Phillips, Alex Powers. With Veronica Ricci, Nicholas Adam Clark, James Cullen Bressack, Nick Waugh. Mona Screamalot, along with her crazy family, prepares you for six short horror films from deep within her trashy treasure chest. This anthology features party killers, giant killer babies, an angry murderous child, a bacterial infection like no other, a murderous cross dresser,a killer in the woods, and Satan. Oh yeah, don't forget the buckets of blood.","Veronica Ricci|Nicholas Adam Clark|James Cullen Bressack|Nick Waugh|Shawn C. Phillips|Brent Buser|Miles Dougal|Joseph Frantz|M. Kelley|Brendan Mitchell|Joben Penuliar|Ethan Phillips|Kim Phillips|Stephen Phillips|Alex Powers","English","Baltimore, Maryland, USA",
"Infidus (2015)"," Crime| Drama| Horror","10-Apr-15","USA",,5.8,"80 min","Directed by Giulio De Santi. With Bonini Mino, Massimo Caratelli, Maurizio Zaffino, Stefania Bonini. In the suburbs of Rome, two disparate lives with only desire for vengeance and redemption in common find their destinies intertwined. Massimo's mind is plagued with images of his wife's violent death at the hands of a criminal gang involved in the production of snuff films. With every memory of the woman he loved replaced by unforgettable images of her horrific final moments, Massimo sees only ...","Bonini Mino|Massimo Caratelli|Maurizio Zaffino|Stefania Bonini|Andrea Di Spirito|Walter Montano|Cristiano Mazzacane|Simone Paternosto|Adrian Baigus|Domenico Deltreppo|Manolo Di Rocco|Stefania Caratelli|Christian Riva|Domenico Vagnati|Roberta Abatiello","Italian",,
"In Extremis (2017)"," Horror| Thriller",2017,"UK",,,"93 min","Directed by Steve Stone. With David O'Hara, Isabelle Allen, Neil Pearson, Toyah Willcox. It's the end of the world - at least their world.","David O'Hara|Isabelle Allen|Neil Pearson|Toyah Willcox|Bill Fellows|Tina Harris|Nick Cornwall|Lisa Gormley|Joe Simpson|Stuart Sessions|Luke Ryder|Jeannie McGinnis|Michael David Worden|Lorraine Dallas|Amy Popplewell","English",,"$3,400,000 "
"Ghostlight (2013)"," Drama| Horror| Thriller","3-Jun-14","USA","NOT RATED",5.1,"90 min","Directed by Jeff Ferrell. With Eden Campbell, Lisa Coronado, David A. Crellin, Jeff Ferrell. Andrew wins a radio contest to spend one night alone in a haunted theater on the 80th anniversary of the bloody murder/suicide that occurred within its walls. His prize: $50,000. His task: To spend 12 hours alone inside. The catch: The theater has been reportedly haunted ever since the tragedy 80 years ago, and has been plagued by a series of mysterious deaths in the years since. As Andrew is ...","Eden Campbell|Lisa Coronado|David A. Crellin|Jeff Ferrell|Ramona Freeborn|Russell Hodgkinson|Dennis Kleinsmith|Brian Sutherland","English",,
"Parasyte: Part 2 (2015)"," Action| Drama| Horror| Sci-Fi","25-Apr-15","Japan",,6.5,"117 min","Directed by Takashi Yamazaki. With Shôta Sometani, Eri Fukatsu, Ai Hashimoto, Sadao Abe. Humanity is under attack by human-mimicking flesh-eating alien parasites. One parasite bonds with his young high school student host, and he convinces the parasite to help him stop the others.","Shôta Sometani|Eri Fukatsu|Ai Hashimoto|Sadao Abe|Satoshi Araki|Tadanobu Asano|Kazuki Kitamura|Jun Kunimura|Nao Ohmori|Pierre Taki","Japanese","Tokyo, Japan",
"Stranger in the House (2015)"," Horror| Mystery| Thriller","28-May-17","Spain","PG-13",4.6,"90 min","Directed by Devon Gummersall. With Annabella Sciorra, Tammy Blanchard, Nathan Darrow, Dennis Boutsikaris. Eve has married the man of her dreams but when they return to live in the house willed to him by his first wife who died under horrific circumstances, it becomes a waking nightmare as Eve falls into a spiral of suspicion and madness.","Annabella Sciorra|Tammy Blanchard|Nathan Darrow|Dennis Boutsikaris|Jenn Liu|Roberta Maxwell|Bettina Skye|Angela Lin|Susan-Kate Heaney|Paul Urcioli|Yvette Mercedes|Peter Sabri|Fatima Mai|Denis Silvestri|Mike Nojun Park","English","Warwick, New York, USA",
"Braxton Butcher (2015)"," Horror| Mystery| Thriller","3-Jul-17","UK",,7,"111 min","Directed by Leo McGuigan. With Shaun Blaney, Jenna Byrne, Vicky Allen, Diona Doherty. A serial killer returns to a small town on the anniversary of his initial spree, forcing a young cop - himself a survivor of the original massacre - to catch him before it's too late.","Shaun Blaney|Jenna Byrne|Vicky Allen|Diona Doherty|Andrew Stanford|Ciaran McCourt|Joshua Colquhoun|Rachel Morton|Philip Rafferty|Odhran McNulty|Brandon McCaffrey|Natalie Curran|Stephen Foster|Larry Cowan|Stephanie Donaghue","English","Belfast, County Antrim, Northern Ireland, UK",
